qId,year,number,questionType,stem,modelAnswer,tags,status,imageRequired,imageUrls
Q_H28_11,H28,11,essay,"【問題11】
公共土木工事の施工計画書を作成するにあたり，下記の4つの項目の中から2つを選び，記載すべき
内容について，解答欄の（例）を参考にして，それぞれ解答欄に記述しなさい。
•現場組織表
•主要船舶･機械
•施工方法
•環境対策","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H28 問題11 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,選択問題(2),教師データ未整備",needs_model_answer,,
Q_H29_01,H29,1,essay,"【問題1】あなたが経験した土木工事の現場において、その現場状況から特に留意した安全管理に関して、次の〔設問1〕、〔設問2〕に答えなさい。
〔注意〕あなたが経験した工事でないことが判明した場合は失格となります。

〔設問1〕あなたが経験した土木工事に関し、次の事項について解答欄に明確に記述しなさい。
〔注意〕「経験した土木工事」は、あなたが工事請負者の技術者の場合は、あなたの所属会社が受注した工事内容について記述してください。したがって、あなたの所属会社が二次下請業者の場合は、発注者名は一次下請業者名となります。
なお、あなたの所属が発注機関の場合の発注者名は、所属機関名となります。
(1) 工事名
(2) 工事の内容
  1 発注者名
  2 工事場所
  3 工期
  4 主な工種
  5 施工量
(3) 工事現場における施工管理上のあなたの立場

〔設問2〕上記工事の現場状況から特に留意した安全管理に関し、次の事項について解答欄に具体的に記述しなさい。
ただし、交通誘導員の配置のみに関する記述は除く。
(1) 具体的な現場状況と特に留意した技術的課題
(2) 技術的課題を解決するために検討した項目と検討理由及び検討内容
(3) 上記検討の結果、現場で実施した対応処置とその評価","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

この問題は経験記述を含む問題である。実際に担当した土木工事に置き換えて、次の骨子で答案を作る。

1. 工事概要
工事名、発注者名、工事場所、工期、主な工種、施工量、自分の立場を具体的に書く。

2. 技術的課題
現場条件から、安全管理上の技術的課題を1つに絞る。

3. 検討項目
施工方法、使用機械、材料、手順、計測・確認方法、協力会社との調整を具体化する。

4. 対応処置と評価
実施内容、確認記録、是正措置、結果を事実ベースでまとめる。","記述式,必須問題",published,,
Q_H29_02,H29,2,essay,"【問題　2】
橋台，カルバートなどの構造物と盛土との接続部分では，不同沈下による段差が生じやすく，平坦
性が損なわれることがある。その段差を生じさせないようにするための施工上の留意点に関する次
の文章の□の（イ）〜（ホ）に当てはまる適切な語句を解答欄に記述しなさい。

（1）橋台やカルバートなどの裏込め材料としては，非圧縮性で（イ）性があり，水の浸入に
よる強度の低下が少ない安定した材料を用いる。

（2）盛土を先行して施工する場合の裏込め部の施工は，底部が（ロ）になり面積が狭く，締
固め作業が困難となり締固めが不十分となりやすいので，盛土材料を厚く敷き均しせず，小型
の機械で入念に施工を行う。

（3）構造物裏込め付近は，施工中や施工後において水が集まりやすいため，施工中の排水
（ハ）を確保し，また構造物壁面に沿って裏込め排水工を設け，構造物の水抜き孔に接続
するなどの十分な排水対策を講じる。

（4）構造物が十分な強度を発揮した後でも裏込めやその付近の盛土は，構造物に偏土圧を加えな
いよう両側から（ニ）に薄層で施工する。

（5）（ホ）は，盛土と橋台などの構造物との取付け部に設置し，その境界に生じる段差の影
響を緩和するものである。","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H29 問題2 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,必須問題,教師データ未整備",needs_model_answer,,
Q_H29_03,H29,3,essay,"【問題 3】
コンクリートの現場内運搬に関する次の文章の□の(イ)〜(ホ)に当てはまる適切な語句を解答
欄に記述しなさい。

(1) コンクリートポンプによる圧送に先立ち，使用するコンクリートの(イ)以下の先送り
モルタルを圧送しなければならない。

(2) コンクリートポンプによる圧送の場合，輸送管の管径が(ロ)ほど圧送負荷は小さくな
るので，管径の(ロ)輸送管の使用が望ましい。

(3) コンクリートポンプの機種及び台数は，圧送負荷，(ハ)，単位時間当たりの打込み量，
1 日の総打込み量及び施工場所の環境条件などを考慮して定める。

(4) 斜めシュートによってコンクリートを運搬する場合，コンクリートは(ニ)が起こりや
すくなるため，縦シュートの使用が標準とされている。

(5) バケットによるコンクリートの運搬では，バケットの(ホ)とコンクリートの品質変化
を考慮し，計画を立て，品質管理を行う必要がある。","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H29 問題3 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,必須問題,教師データ未整備",needs_model_answer,,
Q_H29_04,H29,4,essay,"【問題 4】
盛土の締固め管理に関する次の文章の□の(イ)〜(ホ)に当てはまる適切な語句を解答欄に記述
しなさい。

(1) 品質規定方式による締固め管理は，発注者が品質の規定を□(イ)に明示し，締固めの方
法については原則として□(ロ)に委ねる方式である。

(2) 品質規定方式による締固め管理は，盛土に必要な品質を満足するように，施工部位・材料に
応じて管理項目・□(ハ)・頻度を適切に設定し，これらを日常的に管理する。

(3) 工法規定方式による締固め管理は，使用する締固め機械の機種，□(ニ)，締固め回数な
どの工法そのものを□(イ)に規定する方式である。

(4) 工法規定方式による締固め管理には，トータルステーションやGNSS（衛星測位システム）
を用いて締固め機械の□(ホ)をリアルタイムに計測することにより，盛土地盤の転圧回数
を管理する方式がある。","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H29 問題4 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,選択問題(1),教師データ未整備",needs_model_answer,,
Q_H29_05,H29,5,essay,"【問題 5】
車両系建設機械による労働者の災害防止のため，労働安全衛生規則の定めにより，事業者が実施す
べき安全対策に関する次の文章の□の(イ)〜(ホ)に当てはまる適切な語句を解答欄に記述しな
さい。

(1) 車両系建設機械の転落，地山の崩壊等による労働者の危険を防止するため，あらかじめ，当
該作業に係る場所について地形，□(イ)の状態を調査し，その結果を□(ロ)しておか
なければならない。

(2) 岩石の落下等により労働者に危険が生ずるおそれのある場所で，ブルドーザやトラクター
ショベル，パワーショベル等を使用するときは，その車両系建設機械に堅固な□(ハ)を備
えていなければならない。

(3) 車両系建設機械の運転者が運転位置から離れるときは，バケット，ジッパー等の作業装置を
□(ニ)こと，また原動機を止め走行ブレーキをかける等の措置を講ずること。

(4) 車両系建設機械の転倒やブーム，アーム等の作業装置の破壊による労働者の危険を防止する
ため，構造上定められた安定度，□(ホ)荷重等を守らなければならない。","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H29 問題5 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,選択問題(1),教師データ未整備",needs_model_answer,,
Q_H29_06,H29,6,essay,"【問題 6】
施工計画の立案に際して留意すべき事項について，次の文章の□の（イ）〜（ホ）に当てはまる
適切な語句を解答欄に記述しなさい。

（1） 施工計画は，設計図書及び（イ）の結果に基づいて検討し，施工方法，工程，安全対策，
環境対策など必要な事項について立案する。

（2） 関係機関などとの協議・調整が必要となる工事では，その協議・調整内容をよく把握し，特
に都市内工事にあたっては，（ロ）災害防止上の安全確保に十分留意する。

（3） 現場における組織編成及び（ハ），指揮命令系統が明確であること。

（4） 環境保全計画の対象としては，建設工事における騒音，（ニ），掘削による地盤沈下や
地下水の変動，土砂運搬時の飛散，建設副産物の処理などがある。

（5） 仮設工の計画では，その仮設物の形式や（ホ）計画が重要なので，安全でかつ能率のよ
い施工ができるよう各仮設物の形式，（ホ）及び残置期間などに留意する。","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H29 問題6 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,選択問題(1),教師データ未整備",needs_model_answer,,
Q_H29_07,H29,7,essay,"【問題 7】
軟弱地盤上に盛土を行う場合に用いられる軟弱地盤対策として，下記の5つの工法の中から2つ選び，
その工法の概要と期待される効果をそれぞれ解答欄に記述しなさい。

・載荷盛土工法
・サンドコンパクションパイル工法
・薬液注入工法
・荷重軽減工法
・押え盛土工法","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H29 問題7 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,選択問題(1),教師データ未整備",needs_model_answer,,
Q_H29_08,H29,8,essay,"【問題8】
暑中コンクリートの施工に関する下記の⑴，⑵の項目について配慮すべき事項をそれぞれ解答欄に
記述しなさい。
⑴暑中コンクリートの打込みについて配慮すべき事項
⑵暑中コンクリートの養生について配慮すべき事項","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H29 問題8 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,選択問題(2),教師データ未整備",needs_model_answer,,
Q_H29_09,H29,9,essay,"【問題　9】
鉄筋コンクリート構造物における「鉄筋の加工および組立の検査」・「鉄筋の継手の検査」に関する
品質管理項目とその判定基準を５つ解答欄に記述しなさい。
ただし，解答欄の記入例と同一内容は不可とする。","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H29 問題9 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,選択問題(2),教師データ未整備",needs_model_answer,,
Q_H29_10,H29,10,essay,"【問題10】
高所での作業において，墜落による危険を防止するために，労働安全衛生規則の定めにより，
事業者が実施すべき安全対策について５つ解答欄に記述しなさい。","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H29 問題10 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,選択問題(2),教師データ未整備",needs_model_answer,,
Q_H29_11,H29,11,essay,"【問題　１１】
建設廃棄物の再生利用等による適正処理のために「分別・保管」を行う場合，廃棄物の処理及び
清掃に関する法律の定めにより，排出事業者が作業所（現場）内において実施すべき具体的な対策
について５つ解答欄に記述しなさい。","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H29 問題11 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,選択問題(2),教師データ未整備",needs_model_answer,,
Q_H30_01,H30,1,essay,"【問題1】あなたが経験した土木工事の現場において、その現場状況から特に留意した品質管理に関して、次の〔設問1〕、〔設問2〕に答えなさい。
〔注意〕あなたが経験した工事でないことが判明した場合は失格となります。

〔設問1〕あなたが経験した土木工事に関し、次の事項について解答欄に明確に記述しなさい。
〔注意〕「経験した土木工事」は、あなたが工事請負者の技術者の場合は、あなたの所属会社が受注した工事内容について記述してください。したがって、あなたの所属会社が二次下請業者の場合は、発注者名は一次下請業者名となります。
なお、あなたの所属が発注機関の場合の発注者名は、所属機関名となります。
(1) 工事名
(2) 工事の内容
  1 発注者名
  2 工事場所
  3 工期
  4 主な工種
  5 施工量
(3) 工事現場における施工管理上のあなたの立場

〔設問2〕上記工事の現場状況から特に留意した品質管理に関し、次の事項について解答欄に具体的に記述しなさい。
(1) 具体的な現場状況と特に留意した技術的課題
(2) 技術的課題を解決するために検討した項目と検討理由及び検討内容
(3) 上記検討の結果、現場で実施した対応処置とその評価","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

この問題は経験記述を含む問題である。実際に担当した土木工事に置き換えて、次の骨子で答案を作る。

1. 工事概要
工事名、発注者名、工事場所、工期、主な工種、施工量、自分の立場を具体的に書く。

2. 技術的課題
現場条件から、品質管理上の技術的課題を1つに絞る。

3. 検討項目
施工方法、使用機械、材料、手順、計測・確認方法、協力会社との調整を具体化する。

4. 対応処置と評価
実施内容、確認記録、是正措置、結果を事実ベースでまとめる。","記述式,必須問題",published,,
